id,age_range,bank_balance,customer_monthly_income,employment_type,isDueDateAllignedWithPayDate,loan_amount,marital_status,store_state,percentagePmtAboveIncome
601,56 to 65,175.83,5684.88,Regular Job,1,500,2,OK,0.09950078
602,56 to 65,1545.59,1200,Other,0,300,1,OK,0.06965833
603,56 to 65,9.74,1486,Social Security,0,1000,2,NM,0.1107537
604,26 to 35,383.7,3067.16,Regular Job,1,400,2,MI,0.14821855
605,66 to 75,9.42,2458,Social Security,0,500,1,OK,0.0518633
606,66 to 75,1.73,1309,Social Security,0,1500,2,NM,0.18860199
607,66 to 75,766.5,1316,Social Security,0,1100,1,OK,0.11132219
608,66 to 75,1.6,1543,Social Security,0,500,1,NV,0.07084251
609,36 to 45,2.35,3120,Regular Job,1,500,1,AL,0.18830128
610,66 to 75,680.33,1674.83,Social Security,0,1000,1,NM,0.09826669
611,36 to 45,17.86,2530.72,Regular Job,0,700,2,NM,0.02480717
612,36 to 45,12.68,5568.2,Regular Job,0,350,2,AL,0.0738569
613,26 to 35,257.67,8481.27,Regular Job,0,200,2,NM,0.00236521
614,36 to 45,0.39,783,Social Security,0,300,2,NM,0.06103448
615,56 to 65,35.06,794,Social Security,0,750,2,NM,0.15270781
616,26 to 35,682.15,7859.25,Regular Job,0,325,2,MI,0.0471559
617,26 to 35,646.86,3218.76,Regular Job,0,200,2,NM,0.02061663
618,26 to 35,1884.06,3055.52,Regular Job,0,1000,2,NM,0.05393517
619,66 to 75,6.51,618.66,Regular Job,0,500,1,NM,0.1988168
620,66 to 75,257.7,1092,Retired / Pension,0,410,1,MS,0.45787546
621,26 to 35,0.61,3061.76,Regular Job,0,750,2,NM,0.01902501
622,56 to 65,1615.64,4501.32,Regular Job,0,1000,2,NM,0.01725494
623,56 to 65,305.82,4514.28,Regular Job,0,500,1,OK,0.03066934
624,66 to 75,16.32,755,Social Security,1,250,2,OK,0.38153642
625,36 to 45,2095.95,5706.28,Regular Job,0,1000,1,NV,0.03368394
626,36 to 45,114.06,7238.28,Regular Job,1,450,1,ID,0.00809308
627,75 and above,1372.84,1001.6,Social Security,0,800,1,NM,0.12778554
628,46 to 55,546.89,4355.23,Regular Job,0,400,1,OK,0.01954661
629,36 to 45,1.18,795,Social Security,0,450,2,OK,0.12150943
630,46 to 55,732.58,5880,Regular Job,0,500,2,NM,0.00889966
631,46 to 55,620.99,7130.32,Regular Job,1,400,3,NM,0.00660419
632,46 to 55,786.35,3054.72,Regular Job,0,1000,1,OK,0.06562631
633,56 to 65,19.25,1964.8,Regular Job,0,1000,2,NM,0.03949511
634,36 to 45,726.48,5054.48,Regular Job,0,2000,1,NM,0.02466327
635,36 to 45,442.08,4063,Regular Job,0,900,2,NM,0.02550825
636,46 to 55,1097.62,4400,Regular Job,0,900,2,OK,0.04100455
637,75 and above,1692.96,1377,Social Security,1,125,3,MS,0.10893246
638,46 to 55,221.06,2137.34,Regular Job,0,1000,1,OK,0.09289584
639,75 and above,197.95,1096.96,Retired / Pension,0,750,1,NM,0.10857278
640,66 to 75,607.7,2062,Self Employed,0,700,2,NM,0.05333657
641,46 to 55,15.91,996,Social Security,0,900,1,OK,0.17941767
642,36 to 45,195.17,2912.68,Regular Job,0,400,1,NV,0.01266874
643,75 and above,134.07,1249.9,Social Security,0,1000,1,NV,0.1537803
644,26 to 35,935,2983.72,Regular Job,0,200,1,MS,0.0804365
645,36 to 45,2792.71,4485.84,Regular Job,0,800,1,NM,0.01313021
646,66 to 75,0.68,1619,Social Security,0,300,2,AL,0.21772699
647,36 to 45,1282.3,5641.52,Regular Job,0,400,2,OK,0.01685361
648,56 to 65,3.45,1121,Social Security,0,750,1,NM,0.10635147
649,36 to 45,351.39,3697.91,Regular Job,0,950,2,ID,0.05451999
650,75 and above,8.42,772,Social Security,0,600,2,NM,0.14775907
651,66 to 75,2836.69,1730,Social Security,0,500,1,OK,0.0579422
652,66 to 75,323.78,4053.34,Retired / Pension,0,800,2,NM,0.03231656
653,26 to 35,309.07,9450,Regular Job,0,200,2,AL,0.02486772
654,36 to 45,80.66,3757.88,Self Employed,0,1500,1,NM,0.03100152
655,66 to 75,741.03,3279.66,Retired / Pension,0,1200,2,NM,0.0649549
656,46 to 55,126.56,2300.64,Regular Job,1,750,2,NM,0.02531904
657,46 to 55,47.53,4877.08,Self Employed,1,300,1,ID,0.00800889
658,36 to 45,2.06,2107,Regular Job,0,400,2,OK,0.21625534
659,46 to 55,64.25,473.74,Regular Job,0,1000,2,NM,0.34740575
660,36 to 45,10.26,2288.12,Regular Job,0,1100,2,OK,0.06538119
661,36 to 45,4.36,6533.48,Regular Job,1,500,2,AL,0.08992145
662,46 to 55,3.65,1439.4,Regular Job,0,600,2,ID,0.04599139
663,75 and above,47116.33,779,Social Security,0,300,2,NM,0.10323492
664,46 to 55,56.05,2780.52,Regular Job,1,700,1,NM,0.04278696
665,36 to 45,88.78,7640.56,Self Employed,0,1000,1,NV,0.0115947
666,75 and above,5018.67,2779.89,Retired / Pension,0,1500,1,NM,0.07669008
667,46 to 55,140.46,3428.28,Regular Job,0,600,2,OK,0.03756986
668,56 to 65,644.55,3633.04,Regular Job,1,800,2,NM,0.02095215
669,56 to 65,194.63,5520.88,Regular Job,0,1000,1,NV,0.01604635
670,36 to 45,519,2597.25,Regular Job,1,500,2,OK,0.21778805
671,46 to 55,709.14,5243.76,Regular Job,0,250,1,NM,0.00536066
672,56 to 65,0.25,711,Social Security,1,300,2,LA,0.49929677
673,46 to 55,92.92,2499.92,Regular Job,0,300,1,LA,0.14200454
674,66 to 75,25.39,1199,Social Security,0,750,1,NV,0.13054212
675,46 to 55,61.73,783,Social Security,0,600,2,OK,0.1536143
676,56 to 65,103.34,9768.92,Regular Job,0,750,2,NV,0.01599665
677,66 to 75,56.29,1114,Social Security,0,300,3,NM,0.04409336
678,46 to 55,166.84,7733.36,Regular Job,0,1250,2,NV,0.01447624
679,75 and above,277.65,2746,Social Security,0,300,1,OK,0.0398252
680,66 to 75,1069.04,5888,Regular Job,0,1000,2,ID,0.01682914
681,36 to 45,26.25,2243.84,Regular Job,0,350,2,DE,0.0209596
682,26 to 35,297.76,4813.76,Regular Job,0,300,1,OK,0.01725678
683,36 to 45,1610.22,4832.96,Regular Job,0,500,1,NM,0.01242924
684,75 and above,66.71,1319,Social Security,0,400,2,OK,0.06454132
685,46 to 55,1843.54,5899.6,Regular Job,0,400,2,NM,0.00809207
686,36 to 45,178.47,4068,Self Employed,0,1000,2,ID,0.02195919
687,66 to 75,16.22,648,Social Security,0,300,2,NM,0.1296142
688,56 to 65,5.44,958,Social Security,0,300,2,NM,0.0640501
689,36 to 45,905.26,6299.96,Self Employed,0,1000,3,NV,0.01425565
690,46 to 55,3.21,794,Social Security,0,1500,2,NM,0.24395466
691,36 to 45,6.02,1175,Social Security,0,600,2,OK,0.10138723
692,26 to 35,331.82,6240,Regular Job,0,300,2,LA,0.05689103
693,46 to 55,1.7,1298,Social Security,0,200,2,NM,0.02421418
694,66 to 75,434.38,957,Social Security,0,500,2,NM,0.1285162
695,46 to 55,1070.06,5397.8,Regular Job,0,900,2,NM,0.0130405
696,46 to 55,574.55,4883.92,Self Employed,0,300,2,NM,0.00830685
697,56 to 65,105.41,7667.56,Regular Job,0,1250,2,NV,0.01500477
698,36 to 45,258.04,3443.64,Regular Job,0,200,2,NM,0.00775342
699,66 to 75,365.04,6490.76,Self Employed,0,750,1,NV,0.01146399
700,66 to 75,92.86,1708,Retired / Pension,0,1500,1,OK,0.11487119
701,56 to 65,11.46,9160,Regular Job,0,800,1,NV,0.01096616
702,46 to 55,7.9,1600,Regular Job,0,300,1,LA,0.221875
703,36 to 45,1212.23,4755.72,Self Employed,0,600,2,NM,0.00984078
704,26 to 35,0.61,3061.76,Regular Job,0,750,2,NM,0.01902501
705,56 to 65,1975.27,1205,Social Security,1,500,2,OK,0.4693444
706,26 to 35,578.01,8414.44,Regular Job,0,1100,2,NM,0.02150945
707,46 to 55,1.21,3432.04,Regular Job,0,500,1,NM,0.01521835
708,66 to 75,449.67,5020.6,Self Employed,0,400,2,NM,0.00935546
709,36 to 45,0.76,714,Social Security,0,300,2,OK,0.11634454
710,66 to 75,42.12,1136,Social Security,1,1000,2,NM,0.14487676
711,46 to 55,1843.54,5899.6,Regular Job,0,400,2,NM,0.01665537
712,66 to 75,578.66,938,Social Security,0,1000,2,NM,0.17569296
713,56 to 65,432.76,1388,Social Security,1,450,2,ID,0.07242795
714,36 to 45,149,1894,Regular Job,0,600,2,NM,0.03719641
715,26 to 35,0.12,1130.79,Self Employed,0,300,2,ID,0.05160109
716,36 to 45,147.76,4112.8,Self Employed,0,970.29,1,ID,0.02193396
717,46 to 55,918.49,7619.01,Regular Job,1,1500,1,NM,0.03240316
718,36 to 45,2805.93,9450,Regular Job,0,100,2,AL,0.01243386
719,66 to 75,1597.82,4352,Regular Job,0,1400,2,NM,0.02603401
720,46 to 55,387.36,7282.04,Regular Job,0,800,1,OK,0.02181257
721,36 to 45,1428.46,7388,Self Employed,1,400,2,NM,0.0063752
722,56 to 65,427.33,6000,Regular Job,0,200,1,MS,0.04
723,66 to 75,1498.31,2161.88,Regular Job,1,1000,2,NV,0.04097822
724,56 to 65,822.07,3444,Regular Job,0,950,2,ID,0.0256475
725,75 and above,4.51,1338,Social Security,0,500,1,NV,0.0972571
726,26 to 35,84.71,5836.12,Regular Job,0,750,2,NM,0.01503225
727,46 to 55,1.89,1544,Retired / Pension,0,750,1,NM,0.07852979
728,56 to 65,103.34,9768.92,Regular Job,0,750,2,NV,0.01599358
729,26 to 35,83.7,3723.56,Regular Job,0,500,2,OK,0.15191107
730,75 and above,789.18,794,Social Security,0,500,2,NM,0.15517632
731,66 to 75,2151.12,4963.14,Retired / Pension,0,300,2,NM,0.01694693
732,56 to 65,230,1135,Social Security,0,450,2,ID,0.10864317
733,16 to 25,564.02,8226.16,Regular Job,0,600,2,NM,0.00623742
734,56 to 65,217.09,808,Social Security,0,200,2,NM,0.08201733
735,56 to 65,31.5,3040.56,Regular Job,0,1000,2,NV,0.06331071
736,26 to 35,49.77,7606.32,Regular Job,0,600,2,NV,0.00802491
737,36 to 45,1050.78,3263.04,Regular Job,0,1100,2,NM,0.02520656
738,66 to 75,3561.22,3399.86,Retired / Pension,0,500,2,NM,0.03742507
739,56 to 65,60.46,3693.08,Regular Job,0,1000,3,NM,0.0207767
740,66 to 75,3309.93,3264.7,Retired / Pension,0,1500,1,NM,0.07562104
741,56 to 65,9.79,1152.38,Regular Job,0,500,1,OK,0.49085371
742,46 to 55,49.57,4540,Regular Job,0,300,3,OK,0.01841189
743,36 to 45,1.62,5427.56,Regular Job,0,550,2,OK,0.02031484
744,56 to 65,203,1854,Social Security,0,1400,2,OK,0.10053937
745,56 to 65,1514.39,2000,Social Security,1,1300,2,NV,0.08462
746,46 to 55,171.76,6989.76,Regular Job,0,2200,1,NM,0.02299078
747,56 to 65,296.09,5907.2,Regular Job,0,2000,2,NV,0.02685367
748,56 to 65,1376.24,3577.8,Self Employed,0,699.2,1,NM,0.015135
749,46 to 55,11.66,5218.92,Regular Job,0,700,2,NM,0.01136059
750,66 to 75,33.77,597,Social Security,1,2000,3,NM,0.44834171
751,26 to 35,153.25,6626.24,Regular Job,0,600,2,OK,0.02507304
752,66 to 75,34.35,1002.5,Social Security,0,400,2,NM,0.0921995
753,66 to 75,946.52,597,Social Security,0,2000,2,NM,0.44834171
754,56 to 65,751.63,8184.32,Regular Job,0,600,1,NV,0.00949499
755,66 to 75,0.66,942.46,Retired / Pension,0,200,1,NM,0.07041148
756,36 to 45,905.26,6299.96,Self Employed,0,1000,3,NV,0.01459692
757,36 to 45,178.47,4068,Self Employed,0,400,2,ID,0.01243854
758,56 to 65,98.9,5933,Regular Job,0,1000,1,NM,0.02773976
759,26 to 35,5.37,2518.32,Regular Job,1,500,2,OK,0.22461403
760,46 to 55,209.97,5760,Regular Job,0,800,1,OK,0.02784375
761,75 and above,244.61,1766.91,Retired / Pension,0,600,1,NM,0.04376001
762,46 to 55,761.24,5901.36,Regular Job,0,1500,2,NV,0.02015976
763,26 to 35,357.49,3331.2,Regular Job,0,300,2,NV,0.01146734
764,56 to 65,61.69,3396.48,Regular Job,0,300,1,OK,0.10174063
765,46 to 55,40.58,928,Social Security,0,300,2,NM,0.08109914
766,56 to 65,243.73,1227,Social Security,1,2200,2,NM,0.23320293
767,75 and above,323.93,1231.08,Retired / Pension,1,400,1,NV,0.11260032
768,75 and above,134.07,1249.9,Social Security,0,1000,1,NV,0.1537803
769,56 to 65,56.25,3400,Regular Job,0,950,2,DE,0.02351765
770,56 to 65,60.46,3693.08,Regular Job,0,1000,3,NM,0.0207767
771,56 to 65,305.82,4514.28,Regular Job,0,750,1,OK,0.03330542
772,46 to 55,0.99,6597.57,Regular Job,1,700,2,NM,0.00862439
773,75 and above,42.7,1169.81,Retired / Pension,0,800,1,OK,0.30950325
774,66 to 75,990.44,708,Social Security,0,300,2,NM,0.11358757
775,26 to 35,191.39,3967.36,Regular Job,0,200,1,NM,0.01239111
776,56 to 65,41.5,8374.59,Regular Job,0,2100,1,NM,0.00913358
777,75 and above,500,794,Social Security,0,200,2,NM,0.04270781
778,66 to 75,752.13,785,Social Security,0,400,1,OK,0.10844586
779,26 to 35,0.06,2183.96,Regular Job,1,75,2,MS,0.04120955
780,66 to 75,231.58,2027.16,Social Security,0,1050,2,NM,0.0828943
781,66 to 75,33.8,1505.64,Retired / Pension,0,2000,2,NM,0.17181398
782,46 to 55,415.89,5842.6,Regular Job,0,500,1,OK,0.09679937
783,56 to 65,18,7171.12,Regular Job,1,300,1,OK,0.04820028
784,46 to 55,1245.6,400,Social Security,1,500,1,OK,1.4139
785,66 to 75,607.7,2062,Self Employed,0,700,2,NM,0.05302619
786,56 to 65,596.66,794,Social Security,0,400,2,NM,0.12365239
787,46 to 55,219.72,3268,Regular Job,0,400,2,OK,0.04441248
788,66 to 75,40.69,2228.3,Social Security,0,1500,1,NV,0.12528834
789,66 to 75,2686.05,1340.14,Retired / Pension,0,500,1,OK,0.42201561
790,36 to 45,25,586.88,Regular Job,0,500,2,NM,0.20900354
791,66 to 75,2.24,1163,Social Security,1,250,2,SC,0.24754944
792,26 to 35,1190.9,7388,Self Employed,0,400,2,NV,0.00597455
793,36 to 45,4069.32,3758.48,Regular Job,1,300,1,SC,0.09189885
794,36 to 45,17.86,2530.72,Regular Job,1,600,2,NM,0.02773124
795,46 to 55,546.89,4355.23,Regular Job,0,400,1,OK,0.01954661
796,66 to 75,680.33,1674.83,Social Security,0,400,1,NM,0.05866864
797,66 to 75,1760,1190,Social Security,0,250,2,LA,0.25630252
798,36 to 45,4124.66,4800,Regular Job,0,1200,1,OK,0.05011667
799,75 and above,296.49,1132,Social Security,0,750,1,NM,0.11923145
800,16 to 25,2.49,9870,Regular Job,1,350,2,AL,0.04166667
801,56 to 65,13.71,2539.88,Regular Job,0,800,2,OK,0.04806526
802,36 to 45,213.61,4075.52,Regular Job,0,300,2,NM,0.00527049
803,26 to 35,187.5,7771.92,Regular Job,0,300,1,ID,0.00502579
804,26 to 35,102.36,2576,Regular Job,1,67.55,2,NM,0.00437112
805,56 to 65,7.69,916,Social Security,0,350,2,NM,0.06208515
806,66 to 75,851.83,1501.3,Social Security,0,1100,2,NM,0.12012922
807,66 to 75,1558.24,5028.66,Regular Job,0,1000,2,NM,0.01388839
808,46 to 55,517.68,3957.04,Regular Job,0,800,1,NM,0.01506176
809,56 to 65,650.23,3116.16,Self Employed,0,600,2,NM,0.02260795
810,36 to 45,1.25,771,Social Security,0,300,1,ID,0.09970169
811,56 to 65,56.25,3400,Regular Job,0,800,2,DE,0.02153235
812,56 to 65,127.63,3500,Regular Job,0,500,2,OK,0.16158857
813,36 to 45,415.82,1015.88,Regular Job,0,200,2,NM,0.04836201
814,46 to 55,1.21,3432.04,Regular Job,0,600,1,NM,0.01669852
815,26 to 35,35.08,1320,Self Employed,0,300,2,NM,0.01693182
816,36 to 45,862.07,4743.08,Regular Job,1,500,2,MI,0.11924952
817,36 to 45,147.76,4112.8,Self Employed,0,2100,1,ID,0.0408724
818,16 to 25,254.57,2147,Regular Job,0,150,1,AL,0.08209129
819,66 to 75,45.8,1520,Social Security,0,300,2,TX,0.03201974
820,66 to 75,752.72,7487.92,Regular Job,1,500,2,OK,0.07554167
821,66 to 75,1002.31,7272,Social Security,0,1500,1,DE,0.01500963
822,16 to 25,127.67,4960,Regular Job,0,450,2,OK,0.01930847
823,36 to 45,247.87,4816,Regular Job,0,250,2,MI,0.05940822
824,46 to 55,706.65,3900.88,Regular Job,0,600,2,MI,0.17345061
825,26 to 35,248.4,3038,Regular Job,0,200,1,NM,0.00901251
826,46 to 55,89.05,4150.04,Regular Job,1,575,2,MI,0.15632138
827,36 to 45,28.24,794,Social Security,0,500,2,NM,0.13983627
828,75 and above,47116.33,779,Social Security,0,300,2,NM,0.10323492
829,46 to 55,3724.89,8760.56,Regular Job,1,1200,2,NM,0.01000507
830,46 to 55,71.09,3070.68,Regular Job,0,900,2,NM,0.0264925
831,75 and above,47116.33,779,Social Security,0,300,2,NM,0.10323492
832,26 to 35,0.45,2470.32,Regular Job,0,500,2,OK,0.09160352
833,56 to 65,471.59,9175.36,Regular Job,0,600,1,OK,0.01821945
834,75 and above,78,1578,Social Security,0,400,1,NM,0.05857414
835,46 to 55,1.19,4854.68,Regular Job,1,600,1,ID,0.01120774
836,26 to 35,4.05,3288,Regular Job,0,300,2,OK,0.02542275
837,66 to 75,2.38,959,Social Security,0,300,2,ID,0.08249218
838,56 to 65,1.68,1465,Social Security,0,500,2,OK,0.38610922
839,46 to 55,95.95,3800,Regular Job,0,1500,1,OK,0.05163158
840,66 to 75,990.44,708,Social Security,0,300,2,NM,0.11358757
841,56 to 65,168.96,3311.78,Regular Job,0,700,1,OK,0.04536533
842,26 to 35,349.72,9443.7,Regular Job,0,500,1,NV,0.00550208
843,66 to 75,3.96,3362.5,Social Security,0,500,1,NV,0.03884312
844,36 to 45,213.61,4075.52,Regular Job,0,300,2,NM,0.00527049
845,75 and above,195.14,803,Social Security,0,500,2,OK,0.13358655
846,56 to 65,31.5,3040.56,Regular Job,0,1700,2,NV,0.04914555
847,56 to 65,5.44,958,Social Security,0,1300,2,NM,0.20895616
848,66 to 75,2.57,941,Regular Job,1,500,2,OK,0.60102019
849,46 to 55,7.9,1600,Regular Job,0,300,1,LA,0.221875
850,66 to 75,1754.2,1225.34,Retired / Pension,0,1000,1,NM,0.1155108
851,16 to 25,9.76,4000,Regular Job,1,600,2,NM,0.0134
852,26 to 35,100,2942.52,Self Employed,0,650,2,NM,0.02593695
853,36 to 45,560.74,1719.64,Regular Job,0,1100,2,NM,0.0471087
854,36 to 45,736.23,3143.04,Regular Job,0,2000,1,NM,0.07245215
855,66 to 75,16.96,698,Social Security,0,1000,2,NM,0.23578797
856,36 to 45,305.92,4350.76,Self Employed,0,1500,1,ID,0.03252995
857,46 to 55,8.67,2753.16,Regular Job,0,500,2,NM,0.04248573
858,66 to 75,863.39,2339,Social Security,1,600,2,MI,0.28922189
859,66 to 75,6.51,618.66,Regular Job,0,500,1,NM,0.19883296
860,66 to 75,268.78,1397,Social Security,0,1000,2,NV,0.13779528
861,75 and above,62.57,2023.35,Retired / Pension,0,1100,2,NM,0.08162206
862,46 to 55,608.33,3947.52,Regular Job,0,1500,1,OK,0.04970209
863,36 to 45,826.22,7760.4,Self Employed,0,1500,1,NV,0.01731998
864,66 to 75,5.41,1026,Social Security,0,750,2,NM,0.1317154
865,36 to 45,5,4649.2,Regular Job,0,400,2,OK,0.0219285
866,36 to 45,147.76,4112.8,Self Employed,0,1600,1,ID,0.03046343
867,66 to 75,18.18,1066.5,Social Security,0,750,1,OK,0.14097515
868,56 to 65,5.42,1022,Social Security,1,125,2,MS,0.14677104
869,36 to 45,195.5,3600,Self Employed,0,2000,2,NM,0.03466111
870,36 to 45,1182.96,5121.6,Regular Job,0,700,1,NM,0.01120939
871,16 to 25,262.99,2440.72,Regular Job,0,400,2,OK,0.03518224
872,56 to 65,122.09,7789,Regular Job,0,500,1,ID,0.00857363
873,46 to 55,368.57,6060.56,Regular Job,0,800,3,NV,0.01718323
874,56 to 65,1163.45,5190.6,Regular Job,0,1000,1,OK,0.03862174
875,46 to 55,608.33,3947.52,Regular Job,0,900,1,OK,0.04526893
876,36 to 45,1255.53,7161.6,Regular Job,0,1500,1,OK,0.04158708
877,56 to 65,490.73,7361.44,Regular Job,0,1000,1,NV,0.01028331
878,26 to 35,4.45,3072.68,Regular Job,0,900,2,OK,0.05871747
879,36 to 45,134.3,8232.8,Self Employed,0,500,1,NM,0.0049157
880,36 to 45,581.15,3948,Regular Job,0,1200,1,OK,0.06034954
881,75 and above,124.96,796.45,Social Security,0,1000,2,NM,0.20664197
882,75 and above,211.54,525.6,Social Security,0,1000,1,NM,0.2706621
883,36 to 45,186.08,4575.4,Regular Job,0,500,2,NM,0.02692005
884,46 to 55,1197.04,4147.24,Regular Job,0,1000,2,NM,0.02280794
885,26 to 35,190.8,3857.4,Regular Job,0,600,2,NM,0.01748846
886,56 to 65,12.24,783,Social Security,0,400,2,NM,0.08427842
887,66 to 75,2.64,794,Social Security,0,200,2,NM,0.08149874
888,16 to 25,140.19,6972.42,Regular Job,0,200,2,NM,0.0069904
889,26 to 35,172.75,7995.24,Regular Job,0,1068.11,2,NM,0.00998969
890,36 to 45,628.93,7860.8,Regular Job,0,900,2,NM,0.00832994
891,36 to 45,146.43,8940.88,Regular Job,0,1800,1,NM,0.01562598
892,75 and above,427.15,3146,Social Security,0,500,1,OK,0.04428163
893,75 and above,625.87,1452.3,Social Security,0,1000,1,NV,0.13508228
894,56 to 65,5542.67,1483.69,Regular Job,0,700,1,NV,0.08614333
895,66 to 75,1594.01,1596,Retired / Pension,1,250,2,LA,0.19110276
896,66 to 75,133.54,1425,Social Security,0,2000,2,NM,0.15967018
897,46 to 55,614.11,5930.24,Self Employed,0,1000,1,NV,0.01493869
898,26 to 35,4.25,3736.72,Regular Job,0,500,1,OK,0.02682567
899,56 to 65,830.71,2921.52,Regular Job,1,600,2,NM,0.02411416
900,66 to 75,148.49,850,Social Security,0,300,2,OK,0.08327059
901,56 to 65,243.73,1227,Social Security,0,2200,2,NM,0.23480033
